licencenumber,businessname,businesstype,localarea,status,failed,numberofemployees,issueddate,expireddate,feepaid,folderyear,postalcode
24-276243,CHADO TEA HOUSE LTD.,Wholesale Dealer - Food,Marpole,Cancelled,1,2.0,,,140.0,24,V5X 2X3
24-216754,1443442 B.C. LTD.,Restaurant,West End,Issued,0,15.0,2025-01-23T19:36:25+00:00,2024-12-31,252.0,24,V6E 1N1
24-277801,Moltaqa Restaurant Corp,Restaurant,Downtown,Issued,0,1.0,2024-12-27T03:30:31+00:00,2024-12-31,1530.0,24,V6B 1G4
24-266720,YUKI&KIM FOODS LTD.,Limited Service Food Establishment,Killarney,Issued,0,2.0,2024-09-17T19:15:27+00:00,2024-12-31,,24,V5R 5M2
25-278222,SUSHI HIL CATERING INC.,Limited Service Food Establishment,Kensington-Cedar Cottage,Issued,0,2.0,2025-03-07T20:04:57+00:00,2025-12-31,766.0,25,V5V 4C6
24-278926,EZY MART CONVENIENCE LTD.,Retail Dealer - Food,Marpole,Pending,0,3.0,,,,24,V6P 6L6
24-279907,Union Latinos Cuisine Ltd,Restaurant,Downtown,Pending,0,7.0,,,,24,V6Z 1M1
24-280305,Meow Kitchen Limited,Limited Service Food Establishment,Sunset,Inactive,0,4.0,,,70.0,24,V5W 2Z5
24-148362,PNC Garnet Foods International Inc,Restaurant,Killarney,Gone Out of Business,1,30.0,,,,24,V5R 5L7
24-280661,NAGHSHINEH TRADING LTD.,Limited Service Food Establishment,Renfrew-Collingwood,Pending,0,3.0,,,70.0,24,V5M 0C4
24-149177,Nancy Go Yaya Restaurant Inc,Restaurant,Strathcona,Inactive,0,20.0,2024-09-25T20:12:16+00:00,2024-12-31,,24,V6A 1T8
24-283246,1482335 B.C. LTD.,Limited Service Food Establishment,Kitsilano,Cancelled,1,5.0,,,70.0,24,V6K 1N7
24-160653,OHM JONG RUAY MEAL INC.,Food Manufacturer Assembler and Processor,Grandview-Woodland,Issued,0,4.0,2024-10-02T21:03:52+00:00,2024-12-31,,24,V5L 2A8
24-129111,TopGain Catering Ltd,Limited Service Food Establishment,Kerrisdale,Issued,0,10.0,2024-10-05T20:18:55+00:00,2024-12-31,12.0,24,V6M 1Z1
24-129683,SHINE TREE TRADING LTD,Limited Service Food Establishment,Riley Park,Issued,0,5.0,2024-10-03T15:29:49+00:00,2024-12-31,,24,V5V 3N7
24-284087,1502432 BC Ltd,Food Manufacturer Assembler and Processor,Grandview-Woodland,Pending,0,17.0,,,,24,V5L 2C3
24-129240,1186019 BC Ltd,Limited Service Food Establishment,Hastings-Sunrise,Issued,0,5.0,2024-10-03T19:19:43+00:00,2024-12-31,,24,V5K 0E5
24-285416,NAPOLETANA PIZZA LTD.,Restaurant,Riley Park,Issued,0,6.0,2024-10-07T18:18:29+00:00,2024-12-31,236.0,24,V5V 4E3
24-285802,CARDENAS MARKET INC.,Retail Dealer - Food,Mount Pleasant,Pending,0,2.0,,,,24,V5T 1V6
24-286153,Marquess Coffee Ltd.,Wholesale Dealer - Food,West End,Issued,0,1.0,2024-10-11T15:23:17+00:00,2024-12-31,190.0,24,
24-149453,Marutama Food Services Ltd,Restaurant,Fairview,Issued,0,16.0,2024-10-10T23:24:42+00:00,2024-12-31,12.0,24,V5Z 1E6
24-229706,Kits Beach Coffee Inc,Restaurant,Kitsilano,Issued,0,12.0,2024-10-10T23:08:06+00:00,2024-12-31,107.0,24,V6J 1C8
24-286729,1452084 B.C. LTD.,Retail Dealer - Food,West End,Pending,0,3.0,,,70.0,24,V6E 1B2
24-224088,YF Istanbul Restaurant Ltd,Restaurant,Hastings-Sunrise,Issued,0,10.0,2025-03-31T23:27:01+00:00,2024-12-31,293.0,24,V5K 2B1
24-287948,Barakat Halal Meat & Grocery Corporation,Limited Service Food Establishment,Hastings-Sunrise,Issued,0,6.0,2024-11-28T19:27:42+00:00,2024-12-31,181.0,24,V5K 1Z1
24-288013,CARGO SOLUTIONS LIMITED,Wholesale Dealer - Food,Sunset,Issued,0,1.0,2024-12-17T00:32:07+00:00,2024-12-31,110.0,24,
24-288170,Alpha Bros Enterprises Ltd,Limited Service Food Establishment,Renfrew-Collingwood,Cancelled,1,3.0,,,,24,V5R 5M1
24-288243,1292761 B.C. LTD.,Food Manufacturer Assembler and Processor,Downtown,Pending,0,2.0,,,70.0,24,V6B 2N7
24-149177,Meo Restaurant & Bar Inc,Restaurant,Strathcona,Issued,0,20.0,2024-10-22T23:42:51+00:00,2024-12-31,12.0,24,V6A 1T8
24-148666,K & OH Holdings Ltd,Restaurant,Downtown,Issued,0,10.0,2024-10-21T17:52:45+00:00,2024-12-31,,24,V6B 3H5
24-290328,1511564 B.C. LTD.,Limited Service Food Establishment,Fairview,Pending,0,2.0,,,70.0,24,V5Z 3X7
24-148333,Goodwell Enterprises Ltd,Restaurant,Kensington-Cedar Cottage,Issued,0,10.0,2024-10-21T22:49:06+00:00,2024-12-31,,24,V5N 2T5
24-290687,Hane Foods Ltd,Limited Service Food Establishment,Riley Park,Issued,0,4.0,2024-10-29T15:46:50+00:00,2024-12-31,181.0,24,V5V 3R9
24-290706,CAFFE ARTIGIANO INC,Restaurant,Mount Pleasant,Issued,0,10.0,2024-11-07T21:52:14+00:00,2024-12-31,181.0,24,V5Z 2T8
24-243744,1478594 BC LTD,Restaurant,Downtown,Issued,0,0.0,2024-11-04T20:37:13+00:00,2024-12-31,283.0,24,V6B 1V8
24-148468,Tractor Everyday Healthy Foods Ltd,Restaurant,Kitsilano,Issued,0,12.0,2024-10-23T17:48:11+00:00,2024-12-31,,24,V6J 1M7
24-149257,H&M Top Notch Food Services And Catering Ltd,Restaurant,West End,Issued,0,6.0,2024-10-23T18:15:12+00:00,2024-12-31,,24,V6G 2M4
24-149198,Addah Inc,Restaurant,Strathcona,Issued,0,3.0,2024-10-23T18:38:31+00:00,2024-12-31,,24,V6A 2Z6
24-291391,TOURNAMENT BBQ LTD.,Food Manufacturer Assembler and Processor,Strathcona,Cancelled,1,1.0,,,70.0,24,V6A 2P8
24-147925,Pizza Carano Restaurant Corp,Restaurant,Riley Park,Issued,0,8.0,2024-10-24T23:14:21+00:00,2024-12-31,,24,V5V 4G1
24-148583,Tacofino Gastown Inc,Restaurant,Downtown,Issued,0,80.0,2024-10-24T23:39:33+00:00,2024-12-31,,24,V6B 1C8
24-146208,Seaborn Enterprises Ltd,Retail Dealer - Food,Sunset,Inactive,0,7.0,,,,24,V5X 2X5
24-291761,C4U Six Acres Cafe 2024 Ltd,Restaurant,Downtown,Pending,0,8.0,,,,24,V6B 2J2
24-292754,LA PORTE DE L'ESPOIR PASTRY LTD.,Food Manufacturer Assembler and Processor,Grandview-Woodland,Issued,0,1.0,2024-11-19T22:53:49+00:00,2024-12-31,150.0,24,V5L 5C3
24-293850,Your Local Farmers Market Society,Food Market,Kitsilano,Issued,0,0.0,2024-11-01T23:29:16+00:00,2024-12-31,12.0,24,V6K 2J6
25-294135,SAI NAM RESTAURANT CORP.,Restaurant,West End,Inactive,0,8.0,2025-06-09T16:42:14+00:00,2025-12-31,658.0,25,V6E 1N4
24-148644,Vij's Lantern Inc,Restaurant,Mount Pleasant,Issued,0,50.0,2024-11-01T21:02:03+00:00,2024-12-31,,24,V5Z 2W2
24-148978,Cross The Road Restaurants Ltd,Restaurant,Downtown,Issued,0,30.0,2024-11-01T22:31:08+00:00,2024-12-31,,24,V6A 1X4
